No,Car_name,Engine,Seats,kms_driven,Fuel_type,Transmission,Ownership,Manufacture,Car_prices
856,Maruti Baleno 1.2 Alpha,1396 cc,7 Seats,"37,800 kms",Petrol,Manual,1st Owner,2018,6.50 Lakh
857,Toyota Land Cruiser VX,2393 cc,5 Seats,"56,000 kms",Diesel,Automatic,1st Owner,2018,1.58 Crore
858,Hyundai i20 Sportz 1.4 CRDi,796 cc,7 Seats,"1,00,000 kms",Diesel,Manual,2nd Owner,2012,3 Lakh
859,Toyota Innova Crysta 2.4 ZX 7 STR AT,1993 cc,5 Seats,250 kms,Diesel,Automatic,1st Owner,2022,30.50 Lakh
860,Maruti Alto LXi,1197 cc,5 Seats,"80,000 kms",Petrol,Manual,3rd Owner,2010,1.51 Lakh
861,Mercedes-Benz C-Class C 220d,1462 cc,5 Seats,"4,000 kms",Diesel,Automatic,1st Owner,2022,62 Lakh
862,Maruti Baleno Alpha,1493 cc,6 Seats,"3,731 kms",Petrol,Manual,1st Owner,2021,8.40 Lakh
863,Maruti XL6 Zeta,2925 cc,7 Seats,"4,028 kms",Petrol,Manual,1st Owner,2021,11.25 Lakh
864,Mahindra TUV 300 T6 Plus,998 cc,5 Seats,"70,000 kms",Diesel,Manual,1st Owner,2016,6.50 Lakh
865,Mercedes-Benz S-Class S 350 d,1495 cc,5 Seats,"13,000 kms",Diesel,Automatic,2nd Owner,2014,47.75 Lakh
866,Maruti Alto K10 VXI,1248 cc,5 Seats,"65,000 kms",Petrol,Manual,1st Owner,2019,3.30 Lakh
867,Hyundai Accent Executive LPG,2925 cc,5 Seats,"73,000 kms",Lpg,Manual,2nd Owner,2010,1.70 Lakh
868,Maruti Swift Dzire VDi,1968 cc,7 Seats,"77,200 kms",Diesel,Manual,1st Owner,2014,5.25 Lakh
869,Mercedes-Benz GLS 400d 4MATIC,999 cc,5 Seats,"15,000 kms",Diesel,Automatic,2nd Owner,2020,1.17 Crore
870,Audi A6 2.0 TDI,1497 cc,5 Seats,"1,20,000 kms",Diesel,Automatic,4th Owner,2013,14.50 Lakh
871,Renault KWID 1.0 AMT RXT,2993 cc,5 Seats,"45,200 kms",Petrol,Automatic,2nd Owner,2016,3 Lakh
872,Honda City V AT,998 cc,5 Seats,"75,200 kms",Petrol,Automatic,1st Owner,2013,4.25 Lakh
873,BMW X5 xDrive 30d xLine,2179 cc,5 Seats,"25,000 kms",Diesel,Automatic,1st Owner,2020,83 Lakh
874,Maruti Alto K10 2010-2014 VXI,1197 cc,7 Seats,"80,000 kms",Petrol,Manual,4th Owner,2013,2 Lakh
875,Mahindra XUV500 W8 4WD,2967 cc,5 Seats,"1,60,000 kms",Diesel,Manual,2nd Owner,2013,4.50 Lakh
876,Maruti Swift LXI,1248 cc,7 Seats,"65,150 kms",Petrol,Manual,1st Owner,2017,4.75 Lakh
877,Audi Q7 45 TDI Quattro Technology,2179 cc,5 Seats,"65,000 kms",Diesel,Automatic,1st Owner,2017,46 Lakh
878,Maruti Swift Dzire VDI,1582 cc,7 Seats,"80,000 kms",Diesel,Manual,2nd Owner,2014,4.60 Lakh
879,Mahindra XUV500 W4,2987 cc,5 Seats,"50,000 kms",Diesel,Manual,2nd Owner,2017,9 Lakh
880,Hyundai Creta 1.6 SX Automatic Diesel,1497 cc,7 Seats,"1,08,000 kms",Diesel,Automatic,2nd Owner,2015,8.50 Lakh
881,Mercedes-Benz GLS 350d Grand Edition,2499 cc,5 Seats,"45,000 kms",Diesel,Automatic,2nd Owner,2016,59.50 Lakh
882,Honda City EXi,1995 cc,7 Seats,"1,39,000 kms",Petrol,Manual,3rd Owner,2006,1.29 Lakh
883,Chevrolet Tavera B1-7 seats BSII,1498 cc,5 Seats,"1,20,000 kms",Diesel,Manual,2nd Owner,2011,2.90 Lakh
884,BMW 5 Series 520d Luxury Line,1248 cc,5 Seats,"29,000 kms",Diesel,Automatic,1st Owner,2019,48 Lakh
885,Honda Amaze VX CVT Diesel BSIV,999 cc,5 Seats,"80,105 kms",Diesel,Automatic,2nd Owner,2016,4.50 Lakh
886,Maruti Vitara Brezza ZDi Plus,2143 cc,5 Seats,"60,000 kms",Diesel,Manual,1st Owner,2019,8.75 Lakh
887,Renault KWID 1.0 RXT,1197 cc,5 Seats,"70,000 kms",Petrol,Manual,1st Owner,2017,2.50 Lakh
888,Mercedes-Benz GLE 250d,1248 cc,5 Seats,"45,000 kms",Diesel,Automatic,1st Owner,2019,56 Lakh
889,Hyundai Xcent 1.2 Kappa AT SX Option,1248 cc,5 Seats,"1,10,000 kms",Petrol,Automatic,1st Owner,2014,3.75 Lakh
890,Maruti Swift Dzire VDi,2995 cc,5 Seats,"1,20,000 kms",Diesel,Manual,2nd Owner,2009,2.40 Lakh
891,Maruti SX4 S Cross DDiS 200 Zeta,995 cc,5 Seats,"72,568 kms",Diesel,Manual,1st Owner,2017,7.25 Lakh
892,Land Rover Range Rover 3.0 Petrol LWB Vogue BSIV,1199 cc,5 Seats,"40,000 kms",Petrol,Automatic,1st Owner,2019,1.92 Crore
